CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,49,113,97
2,Female,56,74,69
3,Male,49,111,89
4,Male,21,130,87
5,Male,47,77,71
6,Female,54,139,100
7,Male,40,99,79
8,Male,56,46,59
9,Male,62,101,87
10,Female,32,47,40
11,Male,60,81,75
12,Male,46,32,43
13,Male,53,39,47
14,Male,30,120,89
15,Female,49,109,82
16,Male,24,68,46
17,Female,39,72,56
18,Female,45,81,60
19,Female,19,118,79
20,Male,59,60,57
21,Female,62,38,54
22,Male,23,128,80
23,Female,45,46,53
24,Female,45,61,50
25,Female,61,100,78
26,Female,61,37,42
27,Female,37,80,73
28,Female,47,41,43
29,Female,28,120,86
30,Female,45,16,27
31,Male,42,104,79
32,Male,56,31,38
33,Female,50,118,91
34,Female,18,47,38
35,Female,44,23,40
36,Male,30,57,37
37,Female,58,132,100
38,Male,20,62,48
39,Male,56,53,52
40,Male,23,107,71
41,Male,25,56,49
42,Male,44,133,99
43,Female,26,40,27
44,Female,54,113,91
45,Female,50,64,64
46,Female,59,39,51
47,Female,61,38,44
48,Male,41,27,26
49,Female,32,74,56
50,Female,49,136,100
51,Male,49,21,24
52,Female,41,71,55
53,Male,58,50,55
54,Female,29,59,46
55,Male,56,34,42
56,Female,19,79,65
57,Female,20,22,17
58,Male,54,124,96
59,Male,34,30,33
60,Male,19,28,20
61,Male,19,90,54
62,Male,45,129,97
63,Male,40,101,86
64,Male,54,29,41
65,Male,49,106,84
66,Female,50,112,88
67,Female,18,80,54
68,Male,36,46,48
69,Female,19,101,66
70,Female,61,77,64
71,Female,43,100,69
72,Female,49,65,59
73,Male,23,39,38
74,Female,49,72,64
75,Male,21,77,53
76,Female,28,76,59
77,Female,34,139,98
78,Female,55,36,48
79,Male,41,72,66
80,Female,22,72,47
81,Male,51,100,69
82,Female,23,63,45
83,Male,39,66,50
84,Female,28,56,49
85,Male,33,84,60
86,Male,50,29,28
87,Female,26,68,48
88,Male,23,121,74
89,Female,33,74,66
90,Female,46,115,90
91,Female,20,111,78
92,Female,37,22,31
93,Female,53,67,66
94,Female,36,74,64
95,Female,43,122,88
96,Female,20,122,74
97,Female,36,19,22
98,Female,37,117,85
99,Female,49,82,56
100,Male,24,20,27
101,Male,58,123,88
102,Female,50,110,89
103,Female,57,130,100
104,Female,56,108,89
105,Female,35,61,48
106,Female,57,113,92
107,Female,18,69,46
108,Female,28,54,41
109,Female,45,66,53
110,Male,42,30,42
111,Female,40,27,34
112,Male,48,128,97
113,Female,47,138,97
114,Female,59,120,94
115,Male,52,44,42
116,Female,24,33,27
117,Male,33,31,26
118,Female,43,134,100
119,Female,19,77,50
120,Male,18,33,23
121,Female,29,106,69
122,Male,22,72,48
123,Female,54,69,61
124,Male,49,104,82
125,Male,26,115,76
126,Female,58,104,78
127,Female,52,131,92
128,Male,36,76,63
129,Female,33,37,35
130,Female,20,23,25
131,Female,37,26,34
132,Male,41,131,96
133,Male,50,15,23
134,Male,41,72,61
135,Male,28,136,100
136,Male,25,15,17
137,Male,53,125,98
138,Male,55,48,51
139,Male,57,110,96
140,Male,37,132,91
141,Female,52,62,64
142,Male,42,103,77
143,Female,52,118,88
144,Female,42,123,91
145,Female,46,131,99
146,Male,35,15,33
147,Male,63,30,45
148,Male,35,75,60
149,Male,19,117,86
150,Female,52,78,71
151,Male,33,77,56
152,Male,58,83,80
153,Male,53,36,39
154,Male,50,107,81
155,Male,21,133,84
156,Female,50,81,64
157,Male,31,90,68
158,Female,38,40,38
159,Male,37,30,15
160,Female,25,65,48
161,Male,24,115,76
162,Male,20,100,72
163,Female,34,71,53
164,Female,50,43,58
165,Female,29,92,74
166,Male,39,106,77
167,Female,39,83,71
168,Male,63,61,64
169,Male,47,127,96
170,Female,55,108,91
171,Female,55,124,97
172,Male,62,76,72
173,Male,25,130,92
174,Female,44,83,78
175,Female,44,90,73
176,Female,51,30,36
177,Male,38,104,67
178,Male,47,104,91
179,Male,50,62,56
180,Male,45,99,80
181,Male,64,53,67
182,Male,50,114,90
183,Female,22,47,36
184,Male,36,108,86
185,Male,21,115,80
186,Male,52,37,46
187,Female,34,136,88
188,Male,61,24,45
189,Male,45,132,99
190,Female,47,83,62
191,Male,46,114,89
192,Male,63,48,44
193,Male,23,66,61
194,Male,52,109,81
195,Male,58,24,46
196,Female,54,136,99
197,Female,41,33,39
198,Female,46,72,57
199,Male,63,110,96
200,Male,48,15,27
